N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
157,대우건설,"4,305",140,-3.15%,"5,000","17,893","415,623",12.35,"1,469,742",3.56,16.47,
158,오뚜기,"440,000","7,000",-1.57%,"5,000","17,634","4,008",11.48,"3,374",11.32,8.91,
159,솔루스첨단소재,"49,150","2,250",+4.80%,100,"17,257","35,111",6.06,"427,054","-1,117.05",4.00,
160,현대두산인프라코어,"8,540",120,-1.39%,"1,000","16,889","197,763",14.56,"2,210,069",3.67,24.63,
161,하이트진로,"23,900",200,-0.83%,"5,000","16,762","70,134",12.72,"183,407",14.75,6.62,
162,두산,"101,000","1,000",+1.00%,"5,000","16,689","16,524",8.32,"331,069",-20.40,11.08,
163,LIG넥스원,"74,700",200,-0.27%,"5,000","16,434","22,000",12.61,"119,371",8.96,14.63,
164,쌍용차,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-2.47,305.77,
165,TIGER 미국필라델피아반도체나스닥,"10,470",65,+0.62%,0,"15,668","149,650",0.62,"494,655",N/A,N/A,
166,한미반도체,"15,960",90,-0.56%,100,"15,535","97,339",5.62,"521,613",12.65,34.59,
167,롯데칠성,"167,400","1,200",-0.71%,500,"15,533","9,279",12.44,"23,479",14.12,9.96,
168,현대위아,"55,900","1,300",+2.38%,"5,000","15,202","27,195",10.12,"214,584",7.42,1.96,
169,현대일렉트릭,"42,050",750,+1.82%,"5,000","15,158","36,047",15.78,"303,416",30.87,-5.08,
170,LS ELECTRIC,"50,200",0,0.00%,"5,000","15,060","30,000",13.88,"119,959",15.35,5.86,
171,LX세미콘,"92,500",100,+0.11%,500,"15,044","16,264",29.11,"107,856",5.19,44.49,
172,롯데정밀화학,"58,100",400,-0.68%,"5,000","14,990","25,800",20.36,"56,536",4.88,30.43,
173,TIGER 미국테크TOP10 INDXX,"9,860",90,+0.92%,0,"14,760","149,700",0.23,"245,235",N/A,N/A,
174,코스모화학,"41,750","3,150",+8.16%,"1,000","14,616","35,008",8.43,"7,274,742",127.68,7.89,
175,한전KPS,"32,400",50,-0.15%,200,"14,580","45,000",6.30,"97,061",22.24,9.12,
176,효성,"67,100",200,-0.30%,"5,000","14,139","21,071",4.81,"31,821",12.16,18.04,
177,녹십자,"119,800","1,100",+0.93%,"5,000","14,000","11,687",21.57,"41,393",12.90,10.30,
178,아이에스동서,"43,900",350,+0.80%,500,"13,562","30,893",3.61,"1,233,715",5.43,8.69,
179,대웅제약,"116,700",400,+0.34%,"2,500","13,522","11,587",6.60,"45,082",16.44,4.39,
180,SK케미칼,"78,300",200,-0.25%,"5,000","13,510","17,254",15.40,"40,041",7.35,11.19,
181,TIGER 2차전지테마,"22,680",495,+2.23%,0,"13,495","59,500",0.31,"3,835,303",N/A,N/A,
182,덴티움,"121,000","1,100",+0.92%,500,"13,393","11,069",26.90,"52,559",14.12,21.29,
183,DGB금융지주,"7,900",90,+1.15%,"5,000","13,363","169,146",46.57,"738,297",2.78,9.63,
184,KODEX 2차전지산업,"23,125",405,+1.78%,0,"13,066","56,500",1.05,"3,378,160",N/A,N/A,
185,동국제강,"13,690",490,-3.46%,"5,000","13,065","95,433",26.15,"710,809",1.79,23.41,
186,DL이앤씨,"33,000",500,-1.49%,"5,000","12,769","38,694",21.98,"178,550",2.93,N/A,
187,KODEX 단기채권PLUS,"105,710",0,0.00%,0,"12,751","12,062",0.00,"355,226",N/A,N/A,
188,GKL,"20,600",400,+1.98%,500,"12,742","61,856",6.86,"429,067",-26.44,-26.04,
189,현대백화점,"54,300",300,-0.55%,"5,000","12,708","23,402",23.68,"121,223",6.05,4.36,
190,한국앤컴퍼니,"13,360",200,+1.52%,500,"12,683","94,935",9.20,"48,767",5.30,5.53,
191,에스엘,"27,300",650,+2.44%,500,"12,680","46,449",13.77,"230,788",10.27,6.63,
192,후성,"13,300",100,+0.76%,500,"12,549","94,352",4.66,"1,558,900",17.30,9.61,
193,제주항공,"16,080",100,-0.62%,"1,000","12,381","76,994",3.14,"344,327",-3.85,-135.83,
194,코오롱인더,"44,950",400,-0.88%,"5,000","12,370","27,519",18.56,"93,130",8.22,8.20,
195,DL,"58,900",600,+1.03%,"5,000","12,343","20,956",10.47,"73,027",33.26,26.52,
196,KODEX 삼성그룹,"8,980",15,+0.17%,0,"12,312","137,100",0.05,"160,474",N/A,N/A,
197,LX인터내셔널,"31,350",650,-2.03%,"5,000","12,151","38,760",31.49,"256,022",2.05,22.49,
198,KBSTAR 200,"32,170",170,+0.53%,0,"12,080","37,550",0.00,"102,203",N/A,N/A,
199,율촌화학,"48,400",0,0.00%,500,"12,003","24,800",7.02,"78,708","-2,547.37",2.44,
200,SK가스,"126,100","2,500",-1.94%,"5,000","11,639","9,230",5.14,"9,692",9.31,12.41,
